AHAA,2
AHAH,2
AHAHA,1
AHAHAH,1
AHAHAHA,1
AHAHAHAHA,1
AHAM,1
AHEAD,2
AHH,1
AHHA,1
AHHH,1
AHI,1
AHORITA,0
AIGHT,2
AIH,0
AII,0
AIII,0
AIM,1
AIN,-1
AINT,0
AIN'T,1
AIR,1
AIRPORT,0
AJA,1
AJAA,1
AJAAA,0
AJAH,1
AJAK,0
AJARIN,0
AJAX,1
AJE,0
AJJ,1
AKA,1
AKHIR,1
AKHIRNYA,2
AKI,0
AKO,1
AKTIF,0
AKUN,1
AKUNYA,0
AKUU,0
AKUUU,0
ALA,0
ALAM,1
ALAN,1
ALARM,-2
ALARMED,-2
ALARMIST,-2
ALARMISTS,-2
ALAS,-1
ALAY,0
ALBUM,2
ALBUMS,1
ALCOHOL,1
ALE,1
ALEGRO,2
ALEX,1
ALGO,0
ALGUEM,0
ALGUIEN,0
ALGUM,0
ALGUN,1
ALHAMDULILAH,3
ALHAMDULILLAH,3
ALICE,1
ALIENATION,-2
ALIKE,3
ALIVE,1
ALLAH,1
ALLEEN,0
ALLEMAAL,1
ALLEN,1
ALLERGIC,-2
ALLERGIES,-2
ALLES,1
ALLL,1
ALLOH,0
ALLOW,1
ALLOWED,0
ALMA,1
ALMOST,1
ALONE,-2
ALONG,2
ALOT,1
ALREADY,0
ALRIGHT,2
ALSO,0
ALTHOUGH,0
ALTIJD,1
ALWAYS,0
ALWEER,0
AMA,0
AMAN,1
AMANDA,0
AMANHA,0
AMAR,0
AMAT,0
AMAZE,2
AMAZED,2
AMAZES,2
AMAZINGLY,2
AMAZON,1
AMBER,1
AMBIL,1
AMBITIOUS,2
AMEN,3
AMERICA,1
AMERICAN,1
AMI,0
AMIEN,3
AMIGA,1
AMIGAS,1
AMIGO,1
AMIGOS,1
AMIIIN,3
AMIIN,3
AMIN,3
AMINN,3
AMINNN,3
AMO,1
AMOO,1
AMOOO,1
AMOOR,1
AMOR,1
AMORE,1
AMORES,2
AMOUNT,1
AMPE,0
AMPUN,-1
AMR,1
AMSTERDAM,1
AMUSE,3
AMUSED,3
AMUSEMENT,3
AMUSEMENTS,3
AMY,2
ANA,0
ANAK,1
ANAK2,1
ANAKNYA,1
ANATOMY,1
ANDA,1
ANDAI,0
ANDAR,0
ANDAS,1
ANDERE,1
ANDO,0
ANDREW,1
ANDROID,1
ANDY,1
ANE,1
ANEH,0
ANG,1
ANGEL,1
ANGELES,1
ANGELS,1
ANGER,-3
ANGERS,-3
ANGIN,0
ANGRY,-3
ANGUISH,-3
ANGUISHED,-3
ANIMAL,1
ANIMALS,1
ANIMO,1
ANIMOSITY,-2
ANJING,0
ANK,1
ANKLE,-1
ANN,1
ANNA,1
ANNE,2
ANNIV,3
ANNIVERSARY,3
ANNOY,-2
ANNOYANCE,-2
ANNOYED,-2
ANNOYING,-2
ANNOYS,-2
ANNYEONG,4
ANO,1
ANOCHE,0
ANOS,0
ANOTHER,1
ANSWER,1
ANSWERED,1
ANSWERING,1
ANSWERS,1
ANTAGONISTIC,-2
ANTARA,1
ANTHONY,1
ANTI,-1
ANTICIPATION,1
ANTONIO,1
ANXIETY,-2
ANXIOUS,-2
ANYBODY,1
ANYMORE,-1
ANYONE,1
ANYTHING,1
ANYTIME,2
ANYWAY,1
ANYWAYS,1
ANYWHERE,0
APA2,0
APAA,1
APAAA,1
APAAN,0
APAKAH,1
APALAGI,0
APANYA,0
APAPUN,1
APART,0
APARTMENT,1
APATHETIC,-3
APATHY,-3
APE,1
APENAS,0
APESHIT,-3
APO,1
APOCALYPTIC,-2
APOLOGISE,-1
APOLOGISED,-1
APOLOGISES,-1
APOLOGISING,-1
APOLOGIZE,-1
APOLOGIZED,-1
APOLOGIZES,-1
APOLOGIZING,-1
APOLOGY,-1
APP,1
APPALLED,-2
APPALLING,-2
APPARENTLY,0
APPEAR,0
APPEARS,0
APPEASE,2
APPEASED,2
APPEASES,2
APPEASING,2
APPLAUD,2
APPLAUDED,2
APPLAUDING,2
APPLAUDS,2
APPLE,1
APPLICATION,1
APPLY,1
APPOINTMENT,0
APPRECIATE,2
APPRECIATED,2
APPRECIATES,2
APPRECIATING,2
APPRECIATION,2
APPREHENSIVE,-2
APPRENTICE,1
APPROVAL,2
APPROVE,2
APPROVED,2
APPROVES,2
APPS,1
APRIL,1
APT,1
AQI,1
ARDENT,1
AREA,1
ARENA,1
ARENT,0
ARGENTINA,1
ARGH,-2
ARI,1
ARIZONA,1
ARM,0
ARMS,0
ARMY,-1
AROUND,1
ARREST,-2
ARRESTED,-3
ARRESTS,-2
ARRIVE,1
ARRIVED,2
ARROGANT,-2
ARRUMANDO,2
ARRUMAR,2
ARSE,1
ARSENAL,1
ART,1
ARTICLE,2
ARTINYA,1
ARTIS,1
ARTIST,2
ARTISTS,2
ARTS,1
ASA,0
ASAL,1
ASAP,1
ASH,0
ASHAME,-2
ASHAMED,-2
ASHLEY,1
ASIIIK,2
ASIK,1
ASK,1
ASKED,1
ASKING,1
ASLEEP,0
ASLI,0
ASS,-4
ASSALAMUALAIKUM,4
ASSASSINATION,-3
ASSASSINATIONS,-3
ASSET,2
ASSETS,2
ASSFUCKING,-4
ASSHOLE,-4
ASSIGNMENT,0
ASSIGNMENTS,0
ASSISTI,1
ASSISTINDO,2
ASSISTIR,1
ASSUME,1
ASTAGA,-1
ASTAGFIRULLAH,-1
ASTONISHED,2
ASTOUND,3
ASWELL,1
ASYIK,1
ATA,1
ATAS,2
ATAU,1
ATE,1
ATH,0
ATI,1
ATI2,1
ATL,1
ATLANTA,1
ATLEAST,1
ATM,0
ATO,1
ATTACHED,1
ATTACK,-1
ATTACKED,-1
ATTACKING,-1
ATTEMPT,1
ATTEND,0
ATTENTION,1
ATTITUDE,2
ATTRACT,1
ATTRACTED,1
ATTRACTING,2
ATTRACTION,2
ATTRACTIONS,2
ATTRACTIVE,2
ATTRACTS,1
ATUH,0
AUDACIOUS,3
AUDIENCE,2
AUDIO,1
AUDITION,2
AUGUST,1
AULA,0
AUNQ,0
AUNQUE,1
AUNT,1
AUNTIE,1
AUNTY,1
AUSSIE,1
AUSTIN,1
AUSTRALIA,1
AUTHORITY,1
AUTO,1
AVA,2
AVAILABLE,1
AVANYA,3
AVATAR,2
AVATARNYA,2
AVE,1
AVERAGE,1
AVERT,-1
AVERTED,-1
AVERTS,-1
AVI,3
AVID,2
AVISO,1
AVOID,-1
AVOIDED,-1
AVOIDS,-1
AVOND,1
AVONDJE,2
AVRIL,2
AWAIT,-1
AWAITED,-1
AWAK,0
AWAKE,0
AWAL,1
AWARD,3
AWARDED,3
AWARDS,3
AWARE,1
AWAS,1
AWAY,0
AWE,1
AWESOME,4
AWESOMENESS,2
AWFUL,-3
AWH,1
AWHH,1
AWHILE,1
AWKWARD,-2
AWSOME,2
AWW,1
AWWH,1
AWWW,1
AXE,-1
AXED,-1
AXIS,1
AYA,1
AYAH,1
AYAM,1
AYE,2
AYEE,3
AYEEE,3
AYER,0
AYO,1
AYOK,1
AYOO,1
AYOOO,1
AYU,1
AYUDA,1
AYY,0
AYYY,0
B/C,0
BAB,1
BABE,1
BABES,1
BABI,1
BABIES,1
BABY,1
BABYSITTING,1
BABYYY,1
BAC,1
BACA,1
BACKED,1
BACKGROUND,2
BACKING,2
BACKK,2
BACKS,1
BACON,1
BAD,-3
BADAN,-1
BADASS,-3
BADLY,-3
BAE,1
BAEK,2
BAG,1
BAGAIMANA,1
BAGI,2
BAGIAN,1
BAGS,1
BAGUS,2
BAH,0
BAHAGIA,2
BAHAHA,2
BAHASA,1
BAIK,2
BAIK2,2
BAIKLAH,2
BAJU,1
BAK,1
BAKALAN,0
BAKAR,1
BAKE,2
BAKED,2
BAKING,2
BAKSO,1
BALANCE,1
BALAS,0
BALES,0
BALI,1
BALIK,0
BALL,1
BALLET,1
BALLS,1
BAM,1
BAMBOOZLE,-2
BAMBOOZLED,-2
BAMBOOZLES,-2
BAN,-2
BANA,1
BANANA,2
BAND,2
BANDA,1
BANDS,1
BANDUNG,1
BANG,1
BANGEEET,0
BANGET,0
BANGGA,2
BANHO,2
BANISH,-1
BANK,1
BANKRUPT,-3
BANKSTER,-3
BANNED,-2
BANTU,1
BANTUIN,0
BANYAK,1
BAR,1
BARBIE,1
BARCA,1
BARCELONA,1
BARE,0
BARELY,-1
BARGAIN,2
BARRIER,-2
BARS,1
BARU,1
BARUSAN,0
BAS,1
BASE,1
BASEBALL,2
BASED,1
BASICALLY,1
BASKET,1
BASKETBALL,1
BASS,2
BASTA,1
BASTARD,-5
BASTARDS,-5
BAT,0
BATAL,-1
BATERIA,-1
BATH,1
BATHROOM,0
BATMAN,1
BATTERY,-1
BATTLES,-1
BATU,0
BATUK,-1
BAU,0
BAWA,1
BAWAIN,1
BAY,1
BAYAR,1
BBALL,1
BBC,0
BBL,2
BBM,0
BBQ,1
BBY,1
BCK,1
BDAY,2
B'DAY,3
B-DAY,2
BDG,1
BEACH,1
BEAN,1
BEANS,2
BEAR,1
BEARD,1
BEARS,1
BEAST,2
BEASTLY,2
BEAT,1
BEATEN,-2
BEATIFIC,3
BEATING,-1
BEATLES,2
BEATS,1
BEAUTIES,3
BEAUTIFULLY,3
BEAUTIFY,3
BEAUTY,2
BEB,0
BEBAS,1
BEBE,0
BEBEB,0
BEBEK,1
BEBER,0
BEBERAPA,0
BECAME,1
BECANDA,0
BECOME,1
BECOMING,1
BED,1
BEDA,1
BEDANKT,2
BEDJE,1
BEDROOM,1
BEDTIME,1
BEE,1
BEEF,1
BEER,2
BEERS,1
BEETJE,1
BEGADANG,1
BEGIN,1
BEGINI,-1
BEGINNEN,1
BEGINNING,1
BEGINS,1
BEGINT,1
BEGITU,1
BEH,0
BEHIND,1
BEIJO,1
BEIJOS,2
BEIN,1
BEKASI,1
BEL,1
BELANJA,1
BELATED,2
BELFAST,1
BELI,0
BELIEBER,2
BELIEBERS,2
BELIEVE,0
BELIIN,0
BELITTLE,-2
BELITTLED,-2
BELL,1
BELLA,1
BELLE,1
BELLO,1
BELLY,1
BELOM,0
BELONG,1
BELOVED,3
BELT,1
BELUM,0
BENAR,1
BENCI,0
BENDE,2
BENDICIONES,3
BENEDEN,1
BENEFIT,2
BENEFITS,2
BENEFITTED,2
BENEFITTING,2
BENER,0
BENER2,0
BENERAN,0
BENI,1
BENIEUWD,3
BENT,1
BENTAR,1
BERAKHIR,1
BERANGKAT,1
BERANI,0
BERANTEM,0
BERAPA,1
BERARTI,1
BERASA,0
BERAT,0
BERDOA,2
BERDUA,1
BERDUKA,0
BEREAVE,-2
BEREAVED,-2
BEREAVES,-2
BEREAVING,-2
BERENANG,0
BERES,1
BERHARAP,1
BERHASIL,2
BERHENTI,0
BERI,1
BERIKAN,2
BERITA,0
BERJALAN,2
BERJUANG,2
BERLIN,1
BERRY,1
BERSAMA,2
BERSYUKUR,2
BERTEMU,1
BERUBAH,0
BERUSAHA,2
