BELOVED,3,trust,,
BENEFITS,2,anticipation,,
BENEFITTED,2,anticipation,,
BENEFITTING,2,anticipation,,
BEREAVE,-2,sadness,,
BEREAVES,-2,sadness,,
BEREAVING,-2,sadness,,
BEST,3,trust,,
BEST FRIEND,1,trust,,
BEST FRIENDS,1,trust,,
BESTEST,2,trust,,
BESTFRIEND,1,trust,,
BESTFRIENDS,1,trust,,
BESTIE,1,trust,,
BESTIES,2,trust,,
BETRAYED,-3,disgust,,
BETRAYING,-3,disgust,,
BETRAYS,-3,disgust,,
BIRTHDAYYY,4,joy,,
BITCHES,-5,anger,,
BITTER,-2,disgust,,
BLACK ARMBANDS,-2,sadness,,
BLAH,-2,anger,,
BLAMED,-2,fear,,
BLAMES,-2,fear,,
BLAMING,-2,fear,,
BLESSES,2,trust,,
BLOCKBUSTER,3,joy,,
BLOCKED,-1,anger,,
BLOCKING,-1,anger,,
BLOCKS,-1,anger,,
BLOWS,-1,fear,,
BLURRY,-2,fear,,
BOASTFUL,-2,anger,,
BONJOUR,4,joy,,
BORED,-2,disgust,,
BOTHERED,-2,disgust,,
BOTHERS,-2,disgust,,
BOTHERSOME,-2,disgust,,
BOYCOTTED,-2,fear,,
BOYCOTTING,-2,fear,,
BOYCOTTS,-2,fear,,
BRAINWASHING,-3,anger,,
BREAKTHROUGH,3,joy,,
BREATHTAKING,5,surprise,,
BRIGHT,1,joy,,
BRIGHTEST,2,joy,,
BRUTALLY,-2,fear,,
BULLIED,-2,fear,,
BULLS,2,anger,,
BULLSHIT,-4,anger,,
BULLYING,-2,fear,,
BUMMED,-2,disgust,,
BURDENED,-2,sadness,,
BURDENING,-2,sadness,,
BURDENS,-2,sadness,,
BURNED,-1,sadness,,
CABEZA,-1,anger,,
CAKES,2,joy,,
CALMED,2,trust,,
CALMING,2,trust,,
CALMS,2,trust,,
CANCELED,-1,anger,,
CANCELLED,-1,anger,,
CANCELLING,-1,anger,,
CANCELS,-1,anger,,
CANT STAND,-3,disgust,,
CARELESS,-2,anger,,
CARES,2,trust,,
CARING,2,trust,,
CASHING IN,-2,anger,,
CATASTROPHIC,-4,fear,,
CELEBRATE,3,joy,,
CELEBRATES,3,joy,,
CENSORED,-2,fear,,
CHAGRINED,-2,disgust,,
CHAMP,2,joy,,
CHAMPIONS,2,joy,,
CHAMPIONSHIP,2,joy,,
CHAMPS,3,joy,,
CHARGED,-3,fear,,
CHARGES,-2,fear,,
CHARMLESS,-3,disgust,,
CHASTISE,-3,anger,,
CHASTISED,-3,anger,,
CHASTISES,-3,anger,,
